DATE,T10YFF
2019-01-28,0.35
2019-01-29,0.32
2019-01-30,0.3
2019-01-31,0.23
2019-02-01,0.3
2019-02-04,0.33
2019-02-05,0.31
2019-02-06,0.3
2019-02-07,0.25
2019-02-08,0.23
2019-02-11,0.25
2019-02-12,0.28
2019-02-13,0.31
2019-02-14,0.26
2019-02-15,0.26
2019-02-18,.
2019-02-19,0.25
2019-02-20,0.25
2019-02-21,0.29
2019-02-22,0.25
2019-02-25,0.27
2019-02-26,0.24
2019-02-27,0.29
2019-02-28,0.33
2019-03-01,0.36
